reaction_id,equation,gpr,g0,data_type
TMPPP_num1,2mahmp_c + 4mpetz_c + h_c --> ppi_c + thmmp_c,Cgl1463,-25.6,eQuilibrator_API
TRATF_num1,akg_c + tau_c --> 2saa_c + glu__L_c,Cgl2441,-25.6,eQuilibrator_API
UDCPDPS,frdp_c + 8.0 ipdp_c --> 8.0 ppi_c + udcpdp_c,Cgl2283,-671.0,eQuilibrator_API
UPP3MT_num1,2.0 amet_c + uppg3_c --> 2.0 ahcys_c + dscL_c + h_c,Cgl0429,-671.0,eQuilibrator_API
UPPDC1,4.0 h_c + uppg3_c --> 4.0 co2_c + cpppg3_c,Cgl0435,-24.0,eQuilibrator_API
NAMNPP,atp_c + h2o_c + nac_c + prpp_c --> adp_c + nicrnt_c + pi_c + ppi_c,Cgl2517,-39.2,eQuilibrator_API
RBFK,atp_c + ribflv_c --> adp_c + fmn_c + h_c,Cgl1978,-16.5,eQuilibrator_API
ADSK,aps_c + atp_c --> adp_c + h_c + paps_c,,-17.0,eQuilibrator_API
AMPTASECG_num1,cgly_c + h2o_c --> cys__L_c + gly_c,Cgl2426,8.0,eQuilibrator_API
BPNT,h2o_c + pap_c --> amp_c + pi_c,Cgl0845,-7.2,eQuilibrator_API
CYSS,acser_c + h2s_c --> ac_c + cys__L_c + h_c,Cgl2562,-51.0,eQuilibrator_API
MCPST_num1,cyan_c + mercppyr_c --> h_c + pyr_c + tcynt_c,Cgl0701,-80.0,eQuilibrator_API
PAPSR,paps_c + trdrd_c --> 2.0 h_c + pap_c + so3_c + trdox_c,Cgl2816,-47.0,eQuilibrator_API
SADT2,atp_c + gtp_c + h2o_c + so4_c --> aps_c + gdp_c + pi_c + ppi_c,Cgl2814 and Cgl2815,17.8,eQuilibrator_API
SERAT,accoa_c + ser__L_c --> acser_c + coa_c,Cgl2563,-6.0,eQuilibrator_API
SULRi,5.0 h_c + 3.0 nadph_c + so3_c --> 3.0 h2o_c + h2s_c + 3.0 nadp_c,Cgl2817 and Cgl2818,-106.0,eQuilibrator_API
ACBCP,accoa_c + cbccp_c --> bccp_c + malcoa_c,,-106.0,eQuilibrator_API
BTNC,atp_c + bccp_c + co2_c + h2o_c --> adp_c + cbccp_c + 2.0 h_c + pi_c,,-106.0,eQuilibrator_API
5FTHFC,5fthf_c + atp_c --> adp_c + mlthf_c + pi_c,Cgl0881,-13.0,eQuilibrator_API
FOMETRi,5fthf_c + h_c --> h2o_c + methf_c,Cgl0881,-45.0,eQuilibrator_API
FTHFD,10fthf_c + h2o_c --> for_c + h_c + thf_c,Cgl0382,-25.6,eQuilibrator_API
GLYCL,gly_c + nad_c + thf_c --> co2_c + mlthf_c + nadh_c + nh4_c,,19.0,eQuilibrator_API
MTHFC,h2o_c + methf_c --> 10fthf_c + h_c,Cgl0648,-5.0,eQuilibrator_API
MTHFD,mlthf_c + nadp_c --> methf_c + nadph_c,Cgl0648,5.5,eQuilibrator_API
MTHFR2,2.0 h_c + mlthf_c + nadh_c --> 5mthf_c + nad_c,Cgl2171,-39.0,eQuilibrator_API
TMDS2,dump_c + h_c + mlthf_c + nadph_c --> dtmp_c + nadp_c + thf_c,Cgl1972,-63.4,eQuilibrator_API
GLNS_num1,atp_c + glu__L_c + nh4_c --> adp_c + gln__L_c + h_c + pi_c,Cgl2214,-16.4,eQuilibrator_API
GLUDC,glu__L_c + h_c --> 4abut_c + co2_c,,-19.3,eQuilibrator_API
GLUDy,akg_c + h_c + nadph_c + nh4_c --> glu__L_c + h2o_c + nadp_c,Cgl2079,-33.2,eQuilibrator_API
GLUN,gln__L_c + h2o_c --> glu__L_c + nh4_c,Cgl2482,-14.2,eQuilibrator_API
GLUSy,akg_c + gln__L_c + h_c + nadph_c --> 2.0 glu__L_c + nadp_c,Cgl0184 and Cgl0185,-47.4,eQuilibrator_API
DASYN140,ctp_c + h_c + pa140_c --> cdpdtdecg_c + ppi_c,Cgl2022,-9.7,eQuilibrator_API
DASYN180,ctp_c + h_c + pa180_c --> cdpdodecg_c + ppi_c,Cgl2022,-9.7,eQuilibrator_API
LPLIPAL1A180pp_num1,1odecg3p_c + h2o_c --> glyc3p_c + h_c + ocdca_c,Cgl0080,-28.6,eQuilibrator_API
GHMT2r,ser__L_c + thf_c --> gly_c + h2o_c + mlthf_c,Cgl0996,-10.1,eQuilibrator_API
GLYCK2,atp_c + glyc__R_c --> 2pg_c + adp_c + h_c,Cgl2082,-11.4,eQuilibrator_API
PGCD,3pg_c + nad_c --> 3php_c + h_c + nadh_c,Cgl1284,29.5,eQuilibrator_API
PSERT,3php_c + glu__L_c --> akg_c + pser__L_c,Cgl0828,-10.9,eQuilibrator_API
PSP_L,h2o_c + pser__L_c --> pi_c + ser__L_c,Cgl2522,-10.56,eQuilibrator_API
SARCOX,h2o_c + o2_c + sarcs_c --> fald_c + gly_c + h2o2_c,Cgl1581,-71.0,eQuilibrator_API
SERD_L,ser__L_c --> nh4_c + pyr_c,Cgl1645,-29.9,eQuilibrator_API
ENO,2pg_c --> h2o_c + pep_c,Cgl0974,-3.89,eQuilibrator_API
FBA,fdp_c --> dhap_c + g3p_c,Cgl2770,23.7,eQuilibrator_API
FBP,fdp_c + h2o_c --> f6p_c + pi_c,Cgl1019,-11.7,eQuilibrator_API
GAPD_num1,g3p_c + nad_c + pi_c --> 13dpg_c + h_c + nadh_c,Cgl0937,0.1,eQuilibrator_API
GLCP_num1,glycogen_c + pi_c --> g1p_c,Cgl1308,811.0,eQuilibrator_API
GLCS1,adpglc_c --> adp_c + glycogen_c + h_c,Cgl1117,-817.0,eQuilibrator_API
GLGC,atp_c + g1p_c + h_c --> adpglc_c + ppi_c,Cgl1118,-8.7,eQuilibrator_API
HEX1,atp_c + glc__D_c --> adp_c + g6p_c + h_c,Cgl2185,-21.2,eQuilibrator_API
PDH,coa_c + nad_c + pyr_c --> accoa_c + co2_c + nadh_c,Cgl1129 and Cgl0366 and Cgl2207 and Cgl2248,-34.4,eQuilibrator_API
PFK,atp_c + f6p_c --> adp_c + fdp_c + h_c,Cgl1250,-18.9,eQuilibrator_API
PGI,g6p_c --> f6p_c,Cgl0851,2.5,eQuilibrator_API
PGK,13dpg_c + adp_c --> 3pg_c + atp_c,Cgl1587,-19.5,eQuilibrator_API
PGM_num1,3pg_c --> 2pg_c,Cgl1058,4.3,eQuilibrator_API
PPS,atp_c + h2o_c + pyr_c --> amp_c + 2.0 h_c + pep_c + pi_c,Cgl0551 and Cgl0553,-6.6,eQuilibrator_API
PYK_num1,adp_c + h_c + pep_c --> atp_c + pyr_c,Cgl2089,-24.5,eQuilibrator_API
TPI,dhap_c --> g3p_c,Cgl1586,5.7,eQuilibrator_API
GLYCK,atp_c + glyc__R_c --> 3pg_c + adp_c + h_c,Cgl2081,-15.6,eQuilibrator_API
HISTD,h2o_c + histd_c + 2.0 nad_c --> 3.0 h_c + his__L_c + 2.0 nadh_c,Cgl2102,-19.6,eQuilibrator_API
HISTP,h2o_c + hisp_c --> histd_c + pi_c,Cgl0799,-21.4,eQuilibrator_API
HSTPT_num1,glu__L_c + imacp_c --> akg_c + hisp_c,Cgl0218,9.5,eQuilibrator_API
IGPDH,eig3p_c --> h2o_c + imacp_c,Cgl2100,-41.9,eQuilibrator_API
PRMICI,prfp_c --> prlp_c,Cgl2096,-9.8,eQuilibrator_API
PRPPS,atp_c + r5p_c --> amp_c + h_c + prpp_c,Cgl0942,-1.4,eQuilibrator_API
COBALT2abcpp,atp_c + cobalt2_e + h2o_c --> adp_c + cobalt2_c + h_c + pi_c,Cgl0061,-30.61,eQuilibrator_API
FE3abcpp_num1,atp_c + fe3_e + h2o_c --> adp_c + fe3_c + h_c + pi_c,Cgl0336 and Cgl0036 and Cgl0038,-30.61,eQuilibrator_API
FEROpp,4.0 fe2_c + 4.0 h_c + o2_c --> 4.0 fe3_c + 2.0 h2o_c,Cgl2526,-28.0,eQuilibrator_API
Kabcpp_num1,atp_c + h2o_c + k_e --> adp_c + h_c + k_c + pi_c,Cgl0777,-30.61,eQuilibrator_API
MG2uabcpp,atp_c + h2o_c + mg2_e --> adp_c + h_c + mg2_c + pi_c,,-30.61,eQuilibrator_API
NI2uabcpp,atp_c + h2o_c + ni2_e --> adp_c + h_c + ni2_c + pi_c,,-30.61,eQuilibrator_API
PIuabcpp,atp_c + h2o_c + pi_e --> adp_c + h_c + 2.0 pi_c,Cgl2575 and Cgl2572 and Cgl2573 and Cgl2574,-30.61,eQuilibrator_API
SO3TRDRD,aps_c + trdrd_c --> amp_c + 2.0 h_c + so3_c + trdox_c,,-41.0,eQuilibrator_API
SULabcpp,atp_c + h2o_c + so4_e --> adp_c + h_c + pi_c + so4_c,Cgl0213 and Cgl0214,-30.61,eQuilibrator_API
ZN2abcpp_num1,atp_c + h2o_c + zn2_c --> adp_c + h_c + pi_c + zn2_e,Cgl0027 and Cgl0028 and Cgl0029,-30.61,eQuilibrator_API
ZNabcpp,atp_c + h2o_c + zn2_e --> adp_c + h_c + pi_c + zn2_c,,-30.61,eQuilibrator_API
MI1PS,g6p_c --> mi3p__D_c,Cgl2996,-60.0,eQuilibrator_API
MI2DH_num1,inost_c + nad_c --> 2ins_c + h_c + nadh_c,Cgl0164,-6.7,eQuilibrator_API
MI2DHT,2ins_c --> h2o_c + thcd_c,Cgl0163,-6.7,eQuilibrator_API
THCDH,h2o_c + thcd_c --> d5dg_c,Cgl0162,-6.7,eQuilibrator_API
ACACT1r,2.0 accoa_c --> aacoa_c + coa_c,Cgl2392,25.2,eQuilibrator_API
ACCOAC_num1,accoa_c + atp_c + hco3_c --> adp_c + h_c + malcoa_c + pi_c,Cgl0831,-10.1,eQuilibrator_API
ACOAD1f,btcoa_c + fad_c --> b2coa_c + fadh2_c,Cgl0288,36.0,eQuilibrator_API
ACOAD3f,fad_c + occoa_c --> fadh2_c + oc2coa_c,Cgl0288,41.4,eQuilibrator_API
ACOAD5f,ddcacoa_c + fad_c --> dd2coa_c + fadh2_c,Cgl0288,41.4,eQuilibrator_API
ACOAD6f,fad_c + tdcoa_c --> fadh2_c + td2coa_c,Cgl0288,41.4,eQuilibrator_API
ACOAD7f,fad_c + pmtcoa_c --> fadh2_c + hdd2coa_c,Cgl0288,44.9,eQuilibrator_API
ACOAD8f,fad_c + stcoa_c --> fadh2_c + od2coa_c,Cgl0288,41.4,eQuilibrator_API
ACHACB,achms_c + ch4s_c --> ac_c + hcys__L_c,Cgl0653,-176.8,eQuilibrator_API
AHCYSNS,ahcys_c + h2o_c --> ade_c + rhcys_c,Cgl2802,-16.4,eQuilibrator_API
CYSTL,cyst__L_c + h2o_c --> hcys__L_c + nh4_c + pyr_c,Cgl2309,0.7,eQuilibrator_API
HSST_num1,accoa_c + hom__L_c --> achms_c + coa_c,Cgl0652,-28.0,eQuilibrator_API
SHSL1_num1,cys__L_c + suchms_c --> cyst__L_c + h_c + succ_c,Cgl2446,-66.0,eQuilibrator_API
GLYOX,h2o_c + lgt_S_c --> gthrd_c + h_c + lac__D_c,Cgl0052,-66.0,eQuilibrator_API
LGTHL,gthrd_c + mthgxl_c --> lgt_S_c,Cgl0940,-66.0,eQuilibrator_API
NHFRBO_num1,h_c + nadh_c + 2.0 no_c --> h2o_c + n2o_c + nad_c,Cgl2709,-285.0,eQuilibrator_API
NO3R1bpp,no3_e + q8h2_c --> h2o_e + no2_e + q8_c,Cgl1186 and Cgl1187 and Cgl1188 and Cgl1189,-5.0,eQuilibrator_API
NO3R2bpp,mql8_c + no3_e --> h2o_e + mqn8_c + no2_e,Cgl1186 and Cgl1187 and Cgl1188 and Cgl1189,-112.0,eQuilibrator_API
NTRIR3pp,2.0 h_e + no2_e + 3.0 q8h2_c --> 2.0 h2o_e + nh4_e + 3.0 q8_c,,18.0,eQuilibrator_API
NTRIR4pp,2.0 h_e + 3.0 mql8_c + no2_e --> 2.0 h2o_e + 3.0 mqn8_c + nh4_e,,-305.0,eQuilibrator_API
3NTD2pp,3ump_c + h2o_c --> pi_c + uri_c,,-13.9,eQuilibrator_API
3NTD4pp,3cmp_c + h2o_c --> cytd_c + pi_c,,-22.6,eQuilibrator_API
3NTD7pp,3amp_c + h2o_c --> adn_c + pi_c,Cgl0328,-18.1,eQuilibrator_API
3NTD9pp,3gmp_c + h2o_c --> gsn_c + pi_c,Cgl0328,-13.7,eQuilibrator_API
ADK1,amp_c + atp_c --> 2.0 adp_c,Cgl0556,0.52,eQuilibrator_API
ADK2,atp_c + damp_c --> adp_c + dadp_c,Cgl0556,3.4,eQuilibrator_API
ADK3,amp_c + gtp_c --> adp_c + gdp_c,Cgl0315,2.7,eQuilibrator_API
ADK4,amp_c + itp_c --> adp_c + idp_c,Cgl0315,-0.7,eQuilibrator_API
ADNCYC,atp_c --> camp_c + ppi_c,Cgl0311,-1.2,eQuilibrator_API
ADNK1,adn_c + atp_c --> adp_c + amp_c + h_c,Cgl0556,-15.9,eQuilibrator_API
ADPRDP,adprib_c + h2o_c --> amp_c + 2.0 h_c + r5p_c,Cgl1418,-33.1,eQuilibrator_API
ADPT,ade_c + prpp_c --> amp_c + ppi_c,Cgl1654,-24.4,eQuilibrator_API
AMPN,amp_c + h2o_c --> ade_c + r5p_c,Cgl0095,-20.2,eQuilibrator_API
ATPHs,atp_c + h2o_c + h_c --> itp_c + nh4_c,,-51.1,eQuilibrator_API
CYTDK2,cytd_c + gtp_c --> cmp_c + gdp_c + h_c,,-14.3,eQuilibrator_API
CYTK1,atp_c + cmp_c --> adp_c + cdp_c,Cgl1427,2.0,eQuilibrator_API
CYTK2,atp_c + dcmp_c --> adp_c + dcdp_c,Cgl1427,2.0,eQuilibrator_API
DCTPD_num1,dctp_c + h2o_c + h_c --> dutp_c + nh4_c,Cgl2848,-29.4,eQuilibrator_API
DGK1,atp_c + dgmp_c --> adp_c + dgdp_c,Cgl1606,5.3,eQuilibrator_API
DTMPK,atp_c + dtmp_c --> adp_c + dtdp_c,Cgl0753,-2.3,eQuilibrator_API
DURIK1,atp_c + duri_c --> adp_c + dump_c + h_c,,-17.1,eQuilibrator_API
DUTPDP,dutp_c + h2o_c --> dump_c + h_c + ppi_c,Cgl1905,-44.9,eQuilibrator_API
GK1,atp_c + gmp_c --> adp_c + gdp_c,Cgl1606,-0.1,eQuilibrator_API
GP4GH,gp4g_c + h2o_c --> 2.0 gdp_c + 2.0 h_c,Cgl1002 and Cgl1003,-55.0,eQuilibrator_API
GSNHYDRO_num1,gsn_c + h2o_c --> gua_c + rib__D_c,Cgl1143,-2.6,eQuilibrator_API
GSNK,atp_c + gsn_c --> adp_c + gmp_c + h_c,,-22.8,eQuilibrator_API
GUAPRT,gua_c + prpp_c --> gmp_c + ppi_c,Cgl2697,-34.7,eQuilibrator_API
HXPRT_num1,hxan_c + prpp_c --> imp_c + ppi_c,Cgl2698,-32.1,eQuilibrator_API
INSH,h2o_c + ins_c --> hxan_c + rib__D_c,Cgl2835,-7.5,eQuilibrator_API
NDPK1,atp_c + gdp_c --> adp_c + gtp_c,Cgl2370,-2.2,eQuilibrator_API
NDPK2,atp_c + udp_c --> adp_c + utp_c,Cgl2370,0.5,eQuilibrator_API
NDPK3,atp_c + cdp_c --> adp_c + ctp_c,Cgl2370,0.3,eQuilibrator_API
NDPK4,atp_c + dtdp_c --> adp_c + dttp_c,Cgl2370,0.8,eQuilibrator_API
NDPK5,atp_c + dgdp_c --> adp_c + dgtp_c,Cgl2370,1.7,eQuilibrator_API
NDPK6,atp_c + dudp_c --> adp_c + dutp_c,Cgl2370,-1.1,eQuilibrator_API
NDPK7,atp_c + dcdp_c --> adp_c + dctp_c,Cgl2370,3.8,eQuilibrator_API
NDPK8,atp_c + dadp_c --> adp_c + datp_c,Cgl2370,2.5,eQuilibrator_API
NNATr,atp_c + h_c + nicrnt_c --> dnad_c + ppi_c,Cgl2352,-25.0,eQuilibrator_API
NTD1,dump_c + h2o_c --> duri_c + pi_c,Cgl0328,-13.5,eQuilibrator_API
NTD10,h2o_c + xmp_c --> pi_c + xtsn_c,Cgl0328,-11.7,eQuilibrator_API
NTD11,h2o_c + imp_c --> ins_c + pi_c,Cgl0328,-5.6,eQuilibrator_API
NTD12,dimp_c + h2o_c --> din_c + pi_c,Cgl0328,-17.4,eQuilibrator_API
NTD2,h2o_c + ump_c --> pi_c + uri_c,Cgl0328,-9.0,eQuilibrator_API
NTD3,dcmp_c + h2o_c --> dcyt_c + pi_c,Cgl0328,-16.6,eQuilibrator_API
NTD4,cmp_c + h2o_c --> cytd_c + pi_c,Cgl0328,-14.1,eQuilibrator_API
NTD5,dtmp_c + h2o_c --> pi_c + thymd_c,Cgl0328,-9.4,eQuilibrator_API
NTD6,damp_c + h2o_c --> dad_2_c + pi_c,Cgl0328,-16.3,eQuilibrator_API
NTD7,amp_c + h2o_c --> adn_c + pi_c,Cgl0328,-14.7,eQuilibrator_API
NTD8,dgmp_c + h2o_c --> dgsn_c + pi_c,Cgl0328,-14.4,eQuilibrator_API
NTD9,gmp_c + h2o_c --> gsn_c + pi_c,Cgl0328,-7.8,eQuilibrator_API
NTPP1,dgtp_c + h2o_c --> dgmp_c + h_c + ppi_c,Cgl2500,-52.5,eQuilibrator_API
NTPP10,ditp_c + h2o_c --> dimp_c + h_c + ppi_c,Cgl2500,-58.2,eQuilibrator_API
NTPP11,h2o_c + xtp_c --> h_c + ppi_c + xmp_c,Cgl2500,-58.2,eQuilibrator_API
NTPP3,dctp_c + h2o_c --> dcmp_c + h_c + ppi_c,Cgl2500,-51.4,eQuilibrator_API
NTPP4,ctp_c + h2o_c --> cmp_c + h_c + ppi_c,Cgl2500,-47.8,eQuilibrator_API
NTPP5,datp_c + h2o_c --> damp_c + h_c + ppi_c,Cgl2500,-51.3,eQuilibrator_API
NTPP9,h2o_c + itp_c --> h_c + imp_c + ppi_c,Cgl2500,-22.7,eQuilibrator_API
RNDR1,adp_c + trdrd_c --> dadp_c + h2o_c + trdox_c,Cgl2525 and Cgl2530,-43.0,eQuilibrator_API
RNDR2,gdp_c + trdrd_c --> dgdp_c + h2o_c + trdox_c,Cgl2525 and Cgl2530,-39.1,eQuilibrator_API
RNDR3,cdp_c + trdrd_c --> dcdp_c + h2o_c + trdox_c,Cgl2525 and Cgl2530,-39.8,eQuilibrator_API
RNDR4,trdrd_c + udp_c --> dudp_c + h2o_c + trdox_c,Cgl2525 and Cgl2530,-43.7,eQuilibrator_API
TMDS,dump_c + mlthf_c --> dhf_c + dtmp_c,Cgl0844,-45.3,eQuilibrator_API
UMPK,atp_c + ump_c --> adp_c + udp_c,Cgl2024,0.4,eQuilibrator_API
UPPRT_num1,prpp_c + ura_c --> ppi_c + ump_c,Cgl0684,-24.0,eQuilibrator_API
URIDK2r,atp_c + dump_c --> adp_c + dudp_c,Cgl0753,0.6,eQuilibrator_API
XTSNH_num1,h2o_c + xtsn_c --> rib__D_c + xan_c,Cgl1391,-3.7,eQuilibrator_API
NTP1,atp_c + h2o_c --> adp_c + h_c + pi_c,,-30.61,eQuilibrator_API
NTP10,h2o_c + itp_c --> h_c + idp_c + pi_c,,-31.9,eQuilibrator_API
NTP11,ditp_c + h2o_c --> didp_c + h_c + pi_c,,-37.8,eQuilibrator_API
NTP12,h2o_c + xtp_c --> h_c + pi_c + xdp_c,,-37.8,eQuilibrator_API
NTP3,gtp_c + h2o_c --> gdp_c + h_c + pi_c,,-28.4,eQuilibrator_API
NTP5,ctp_c + h2o_c --> cdp_c + h_c + pi_c,,-30.9,eQuilibrator_API
NTPP2,gtp_c + h2o_c --> gmp_c + h_c + ppi_c,Cgl2500,-43.1,eQuilibrator_API
NTPP6,atp_c + h2o_c --> amp_c + h_c + ppi_c,Cgl2500,-46.0,eQuilibrator_API
NTPP7,dttp_c + h2o_c --> dtmp_c + h_c + ppi_c,Cgl2500,-44.1,eQuilibrator_API
NTPP8,h2o_c + utp_c --> h_c + ppi_c + ump_c,Cgl2500,-46.0,eQuilibrator_API
ATPS4rpp,adp_c + 4.0 h_e + pi_c --> atp_c + h2o_c + 3.0 h_c,Cgl1213 and Cgl1211 and Cgl1210 and Cgl1208 and Cgl1212 and Cgl1209 and Cgl1207 and Cgl1206,-30.6,Manual
CAT,2.0 h2o2_c --> 2.0 h2o_c + o2_c,Cgl0255,-192.0,eQuilibrator_API
CRNCAL2,atp_c + coa_c + crn_c --> adp_c + crncoa_c + pi_c,Cgl1198,5.4,eQuilibrator_API
CRNDCAL2,atp_c + coa_c + crn__D_c --> adp_c + crnDcoa_c + pi_c,Cgl1198,8.1,eQuilibrator_API
CTBTCAL2,atp_c + coa_c + ctbt_c --> adp_c + ctbtcoa_c + pi_c,Cgl1198,-347.7,eQuilibrator_API
CYTBD2pp,2.0 h_c + mql8_c + 0.5 o2_c --> h2o_c + 2.0 h_e + mqn8_c,Cgl2194 and Cgl2523 and Cgl2195 and Cgl2192,-201.0,eQuilibrator_API
CYTBDpp,2.0 h_c + 0.5 o2_c + q8h2_c --> h2o_c + 2.0 h_e + q8_c,Cgl2194 and Cgl2523 and Cgl2195 and Cgl2192,-94.0,eQuilibrator_API
CYTBO3_4pp,4.0 h_c + 0.5 o2_c + q8h2_c --> h2o_c + 4.0 h_e + q8_c,Cgl2194 and Cgl2523 and Cgl2195 and Cgl2192,-94.0,eQuilibrator_API
DMSOR1pp,dmso_e + mql8_c --> dms_e + h2o_e + mqn8_c,,-224.0,eQuilibrator_API
DMSOR2pp,2dmmql8_c + dmso_e --> 2dmmq8_c + dms_e + h2o_e,,-202.0,eQuilibrator_API
FDH4pp_num1,for_e + 2.0 h_c + q8_c --> co2_c + h_e + q8h2_c,Cgl0527,-145.0,eQuilibrator_API
FDH5pp_num1,for_e + 2.0 h_c + mqn8_c --> co2_c + h_e + mql8_c,Cgl0527,-37.0,eQuilibrator_API
G3PD5,glyc3p_c + q8_c --> dhap_c + q8h2_c,Cgl1646,-109.0,eQuilibrator_API
G3PD6,glyc3p_c + mqn8_c --> dhap_c + mql8_c,,-1.0,eQuilibrator_API
G3PD7,2dmmq8_c + glyc3p_c --> 2dmmql8_c + dhap_c,,-24.0,eQuilibrator_API
HYD1pp,h2_c + 2.0 h_c + q8_c --> 2.0 h_e + q8h2_c,,-170.0,eQuilibrator_API
HYD2pp,h2_c + 2.0 h_c + mqn8_c --> 2.0 h_e + mql8_c,,-63.0,eQuilibrator_API
HYD3pp,2dmmq8_c + h2_c + 2.0 h_c --> 2dmmql8_c + 2.0 h_e,,-85.0,eQuilibrator_API
LDH_D2,lac__D_c + q8_c --> pyr_c + q8h2_c,Cgl0901,-111.0,eQuilibrator_API
NADH10,h_c + mqn8_c + nadh_c --> mql8_c + nad_c,Cgl1465,-23.0,eQuilibrator_API
NADH16pp,4.0 h_c + nadh_c + q8_c --> 3.0 h_e + nad_c + q8h2_c,Cgl2729 and Cgl2731 and Cgl0269,-131.0,eQuilibrator_API
NADH17pp,4.0 h_c + mqn8_c + nadh_c --> 3.0 h_e + mql8_c + nad_c,Cgl2729 and Cgl2731 and Cgl0269,-23.0,eQuilibrator_API
NADH18pp,2dmmq8_c + 4.0 h_c + nadh_c --> 2dmmql8_c + 3.0 h_e + nad_c,Cgl2729 and Cgl2731 and Cgl0269,-45.0,eQuilibrator_API
NADH5,h_c + nadh_c + q8_c --> nad_c + q8h2_c,Cgl0335,-131.0,eQuilibrator_API
NADH9,2dmmq8_c + h_c + nadh_c --> 2dmmql8_c + nad_c,,-45.0,eQuilibrator_API
NADPHQR2_num1,h_c + nadph_c + q8_c --> nadp_c + q8h2_c,Cgl1572,-131.0,eQuilibrator_API
NADPHQR3_num1,h_c + mqn8_c + nadph_c --> mql8_c + nadp_c,Cgl1572,-23.0,eQuilibrator_API
NADPHQR4_num1,2dmmq8_c + h_c + nadph_c --> 2dmmql8_c + nadp_c,Cgl1572,-46.0,eQuilibrator_API
NO3R1pp,2.0 h_c + no3_c + q8h2_c --> h2o_c + 2.0 h_e + no2_c + q8_c,Cgl1186 and Cgl1187 and Cgl1188 and Cgl1189,-5.0,eQuilibrator_API
NO3R2pp,2.0 h_c + mql8_c + no3_c --> h2o_c + 2.0 h_e + mqn8_c + no2_c,,-112.0,eQuilibrator_API
NTRIR2x,5.0 h_c + 3.0 nadh_c + no2_c --> 2.0 h2o_c + 3.0 nad_c + nh4_c,,-374.0,eQuilibrator_API
POX,h2o_c + pyr_c + q8_c --> ac_c + co2_c + q8h2_c,Cgl2610,-201.0,eQuilibrator_API
PPKr,atp_c + pi_c --> adp_c + ppi_c,,-14.87,eQuilibrator_API
SUCDi,q8_c + succ_c --> fum_c + q8h2_c,,-74.0,eQuilibrator_API
TMAOR1pp,h_e + mql8_c + tmao_e --> h2o_e + mqn8_c + tma_e,,-214.0,eQuilibrator_API
TMAOR2pp,2dmmql8_c + h_e + tmao_e --> 2dmmq8_c + h2o_e + tma_e,,-191.0,eQuilibrator_API
TRDR,h_c + nadph_c + trdox_c --> nadp_c + trdrd_c,Cgl3090 and Cgl2976,-6.4,eQuilibrator_API
L_LACD2,lac__L_c + q8_c --> pyr_c + q8h2_c,Cgl2918,-108.0,eQuilibrator_API
G6PDH2r,g6p_c + nadp_c --> 6pgl_c + h_c + nadph_c,Cgl1576,-7.6,eQuilibrator_API
GND,6pgc_c + nadp_c --> co2_c + nadph_c + ru5p__D_c,Cgl1452,10.4,eQuilibrator_API
PGL,6pgl_c + h2o_c --> 6pgc_c + h_c,Cgl1578,-26.3,eQuilibrator_API
RPE,ru5p__D_c --> xu5p__D_c,Cgl1598,-3.4,eQuilibrator_API
RPI,r5p_c --> ru5p__D_c,Cgl2423,4.5,eQuilibrator_API
TALA,g3p_c + s7p_c --> e4p_c + f6p_c,Cgl1575,-1.2,eQuilibrator_API
TKT1,r5p_c + xu5p__D_c --> g3p_c + s7p_c,Cgl1574,-1.5,eQuilibrator_API
TKT2,e4p_c + xu5p__D_c --> f6p_c + g3p_c,Cgl1575,-10.5,eQuilibrator_API
ADSL1r,dcamp_c --> amp_c + fum_c,Cgl2598,17.0,eQuilibrator_API
ADSL2r,25aics_c --> aicar_c + fum_c,Cgl2598,24.8,eQuilibrator_API
ADSS,asp__L_c + gtp_c + imp_c --> dcamp_c + gdp_c + 2.0 h_c + pi_c,Cgl2766,-3.8,eQuilibrator_API
AICART,10fthf_c + aicar_c --> fprica_c + thf_c,Cgl0861,14.0,eQuilibrator_API
ASPCT,asp__L_c + cbp_c --> cbasp_c + h_c + pi_c,Cgl1612,-23.0,eQuilibrator_API
CTPS2,atp_c + gln__L_c + h2o_c + utp_c --> adp_c + ctp_c + glu__L_c + 2.0 h_c + pi_c,Cgl1417,-24.4,eQuilibrator_API
DHORD2,dhor__S_c + q8_c --> orot_c + q8h2_c,Cgl1518,-125.0,eQuilibrator_API
